comment,curiet,debyet,element,gapene,kaizero_value,moment_value,name,neelt,nhc2zero_value,oz,pcohere_value,phc2zero_value,ppenet_value,rh300,shape,t1_value,t2_value,t3_value,tcn_value,tcsus_value,tcwidth_value,critical_temp_K,upper_critical_field_0K_T,gamma_sommerfeld_mJmolK2,resistivity_normal_uOhmcm,resistivity_roomtemp_uOhmcm,penetration_depth_nm,coherence_length_nm,dhc2dt_TK,dtcdp_KGPa,density_gcm3,lower_critical_field_0K_T,thermopower_300K_uVK,energy_gap_meV,data_quality_flag
composition (Tl:Ba:Ca:Cu = 1.01:2.01:1.90:3.09) by SEM-EDX,,,Tl0.75Ba2Ca2Cu3Oz,,,,TlBa2Ca2Cu3Oz,,,,,,,,,,,,,131.0,,131.0,,,,,,,,,,,,,
,,480.0,Y1Ba2Cu3O7-Z,,,,YBa2Cu3O7,,,,,,,,,,90.0,,,,,90.0,,,,,,,,,5.69,,,,
,,,Hg0.9Ce0.1Ba2Cu1O4+z,,,,"(Hg,Ce)Ba2CuO4",,,,,,,,,,,,,96.0,,96.0,,,,,,,,,,,,,
0.20 mm-dia-wire. Tc by resistivity. RRR = 2.23.,,,Cu0.7In0.01Nb0.29,,,,"(Cu,Nb,In)",,,,,,,,,,9.04,,,,0.24,9.04,,,,3.4,,,,,,,,,
,,,La1,,,,La,,,,,,,,,,6.23,,,,,6.23,,,,,,,,,,,,,
anisotropy(Hc2) = 10. Fe-plane distance d=10.25 A.,,,Ca10Pt3.53Fe9.47As18,,,,Ca10(Pt3As8)((Fe1-xPtx)2As2)5,,14.13,,,143.4,,0.00218,shape_03,13.6,15.8,20.0,,13.6,,15.8,,,,,,,,,,,,,
"RRR = 10. (dC/Tc) = 38 mJ/mol.K2, (dC/gamma*Tc) = 1.52. DOS = 10.6 states/eV from [gamma]. R(T) = R0 + A*T^2 (A=1.94E-5 mOhm.cm/K2.",,235.0,Ca3Ir4Ge4,,,,Ca3Ir4Ge4,,,,,,,,shape_01,1.4,1.7,,,,,1.7,,25.0,40.0,400.0,,,,,4.517,,,,
Co-content by WDS. structural transition at T=57.6 K.,,,Sr1Fe1.86Co0.14As2,,,,"Sr(Fe,Co)2As2",,,,,,,,shape_03,10.4,,12.7,,7.2,,7.2,,,,,,,,,,,,,
"Heat treatment(800C, 1 d)",,,Nb3Pt1,,,,Nb3Pt,,,,,,,,,,8.174,,,,,8.174,,,,,,,,,,,,,
,,,Ir1Mo3,,,,Mo3Ir,,,,,,,,,,8.35,,,,,8.35,,,,,,,,,,,,,
,,,Bi2Sr2Ca0.7Nd0.3Cu2Oz,,,,"Bi2Sr2(Ca,Nd)Cu2O8",,,,,,,6.5e-09,shape_01,67.0,,,,80.2,,80.2,,,,3.5,,,,,,,7.9,,
,,,Nb0.33Ti0.67,,,,Nb0.33Ti0.67,,,,,,,,,,9.3,,,,,9.3,,,,,,,,,,,,,
,,,Si0.9V3Ge0.1,,,,,,,,,,,,,,14.0,,,,,14.0,,,,,,,,,,,,,
optimal F-cintent sample. Tc(P) measured upto 8GPa. Tc defined as SUS(on),,,Nd1Fe1As1F0.1O0.9,,,,"Nd(O,F)FeAs",,,,,,,,shape_01,,,,,48.0,,48.0,,,,,,,,,,,,,
Hc2(T) = Hc2(0)*(1-t^(1.5))^(1.5).,,,Ba1Ag0.3Si1.7,,,,BaAgxSi2-x,,,,,,,,shape_01,,,,,3.2,,3.2,3.3,,,,60.0,1.0,,,,0.0018,,,
,,,Ca1Al1.3Si0.7,,,,"Ca(Al,Si)2",,,,,,,,,,4.5,,,,,4.5,,,,,,,,,,,,,
OZ=3.99-3.              97,,,Eu1.85Th0.15Cu1O3.98,,,,"(Eu,Th)2CuO4",,,3.98,,,,,,,,,4.2,,,,,,,,,,,,,,,,
,,,Gd1Ba1Sr1Cu3O6.77,,,,"Gd(Ba,Sr)2Cu3Oz",,,6.77,,,,,shape_01,,,4.0,,4.0,,4.0,,,,,,,,,,,,,
